param,covariate,longest.bout.900.to.1080.SS
coef,phenotype,-0.020062296994598643
coef,body_weight,-0.06028965690486304
coef,AL,
coef,1D,0.4745986420616708
coef,2D,1.9072512763125478
coef,20,-0.9547636358903753
coef,40,1.7962663524666191
coef,bwxAL,
coef,bwx1D,-0.018639276114284755
coef,bwx2D,-0.07116107437214048
coef,bwx20,0.003721028109230605
coef,bwx40,-0.1377090743616461
se(coef),phenotype,0.0015852484622313025
se(coef),body_weight,0.021965908994222703
se(coef),AL,
se(coef),1D,0.9888137226371495
se(coef),2D,1.0413023398887562
se(coef),20,1.0665136832822597
se(coef),40,1.2774692281627704
se(coef),bwxAL,
se(coef),bwx1D,0.03117400065214128
se(coef),bwx2D,0.034211264335469
se(coef),bwx20,0.036096490107996856
se(coef),bwx40,0.05521493823961975
p,phenotype,1.0415439563253981e-36
p,body_weight,0.006056769427812623
p,AL,
p,1D,0.6312503650135048
p,2D,0.06701076326682939
p,20,0.37066986814616687
p,40,0.15969051141157475
p,bwxAL,
p,bwx1D,0.5498993580490747
p,bwx2D,0.0375211239557841
p,bwx20,0.9178950387568374
p,bwx40,0.012629309238465726
