param,covariate,post.start.time.longest.bout.DS
coef,phenotype,-0.0008288102275873679
coef,body_weight,-0.02318646448776944
coef,AL,
coef,1D,0.08518064076936932
coef,2D,-0.021165648206770696
coef,20,-0.16986757115898155
coef,40,-0.499353876412728
coef,bwxAL,
coef,bwx1D,-0.002400065048934054
coef,bwx2D,-0.006458513962308029
coef,bwx20,-0.00874612308152833
coef,bwx40,-0.026353141097710173
se(coef),phenotype,9.641643705422085e-05
se(coef),body_weight,0.0032795952233221344
se(coef),AL,
se(coef),1D,0.11080538274872007
se(coef),2D,0.10870196296922079
se(coef),20,0.10521907000133089
se(coef),40,0.1040123089662065
se(coef),bwxAL,
se(coef),bwx1D,0.0030808772858032228
se(coef),bwx2D,0.003262138522447183
se(coef),bwx20,0.003273120138160955
se(coef),bwx40,0.004246772016541977
p,phenotype,8.243449988171389e-18
p,body_weight,1.5502691640661667e-12
p,AL,
p,1D,0.4420470800361649
p,2D,0.8456179014423878
p,20,0.10643676814318333
p,40,1.5794516812742727e-06
p,bwxAL,
p,bwx1D,0.43596792853816724
p,bwx2D,0.04772145397148642
p,bwx20,0.007537689411691285
p,bwx40,5.453981910920094e-10
