param,covariate,post.start.time.longest.bout.GS
coef,phenotype,-0.0013487124187901147
coef,body_weight,-0.07290309793337456
coef,AL,
coef,1D,-0.6962323050802589
coef,2D,-0.43979987476070126
coef,20,-0.6266282743992418
coef,40,0.878524222905445
coef,bwxAL,
coef,bwx1D,0.017533915779794195
coef,bwx2D,0.002393652072288712
coef,bwx20,-0.0013681781276972424
coef,bwx40,-0.11252105900214882
se(coef),phenotype,0.00015196826259631984
se(coef),body_weight,0.009643511417114827
se(coef),AL,
se(coef),1D,0.4826716720145838
se(coef),2D,0.5022993269534299
se(coef),20,0.4968166884144734
se(coef),40,0.6379470686575386
se(coef),bwxAL,
se(coef),bwx1D,0.014268511796703237
se(coef),bwx2D,0.015661207026966207
se(coef),bwx20,0.01620795423522289
se(coef),bwx40,0.02744770651834528
p,phenotype,6.995786178812774e-19
p,body_weight,4.036637406202065e-14
p,AL,
p,1D,0.14917397675747493
p,2D,0.38126205058995577
p,20,0.2072055763800526
p,40,0.16847778828213017
p,bwxAL,
p,bwx1D,0.21912660390801975
p,bwx2D,0.8785247957629525
p,bwx20,0.9327272825659575
p,bwx40,4.140967172983424e-05
