param,covariate,post.start.time.longest.bout.SS
coef,phenotype,-0.0017399139999069195
coef,body_weight,-0.08183369879124432
coef,AL,
coef,1D,-1.1164767788717622
coef,2D,-0.7097443980593889
coef,20,-0.8815257438183457
coef,40,0.6971744013920523
coef,bwxAL,
coef,bwx1D,0.0238075697751519
coef,bwx2D,-0.0001478922691658042
coef,bwx20,-0.004513543489283217
coef,bwx40,-0.1253966736851308
se(coef),phenotype,0.0001701433451259736
se(coef),body_weight,0.009392067548719369
se(coef),AL,
se(coef),1D,0.45890901426311764
se(coef),2D,0.4855299778062345
se(coef),20,0.4568326557257799
se(coef),40,0.5550832247952799
se(coef),bwxAL,
se(coef),bwx1D,0.013758301321627132
se(coef),bwx2D,0.015380578964904707
se(coef),bwx20,0.015037495807556273
se(coef),bwx40,0.023889068577601705
p,phenotype,1.5139575055832754e-24
p,body_weight,2.9576590171734234e-18
p,AL,
p,1D,0.014978703993725563
p,2D,0.14379790044994448
p,20,0.053650596442916795
p,40,0.2091225860595197
p,bwxAL,
p,bwx1D,0.0835561714159555
p,bwx2D,0.9923280430363514
p,bwx20,0.7640607574496305
p,bwx40,1.5282451482837234e-07
